
title,price,image
"Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,1TB,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",18519 Сом,https://enter.kg//images/stories/virtuemart/product/1_4407.png
"Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,1TB,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",19520 Сом,https://enter.kg//images/stories/virtuemart/product/1_3344_3597.jpg
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus",20521 Сом,https://enter.kg//images/stories/virtuemart/product/1_2528_7347_1054.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",20821 Сом,https://enter.kg//images/stories/virtuemart/product/1_5532_5583.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,500GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",21021 Сом,https://enter.kg//images/stories/virtuemart/product/1_1387.jpg
"Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,SSD 480Gb,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",21021 Сом,https://enter.kg//images/stories/virtuemart/product/1_3593.png
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY",21321 Сом,https://enter.kg//images/stories/virtuemart/product/1_7426.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",21522 Сом,https://enter.kg//images/stories/virtuemart/product/1_5954_7734.jpg
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus",21522 Сом,https://enter.kg//images/stories/virtuemart/product/1_6497_1615.jpg
"Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,SSD480Gb,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",21522 Сом,https://enter.kg//images/stories/virtuemart/product/1_7094.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 256GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",22022 Сом,https://enter.kg//images/stories/virtuemart/product/1_8807_5890.jpg
"Ноутбук ASUS-X543M/Intel N4020/DDR4 4GB/1TB/15.6""/DVDRW/1B-Star Grey/Win10/Rus+Eng",22022 Сом,https://enter.kg//images/stories/virtuemart/product/1_4771_6308.jpg
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK",22823 Сом,https://enter.kg//images/stories/virtuemart/product/1_4801_3627.jpg
"HP 250 G8 27K11EA N4020 1.1-2.8GHz,4GB,1TB,15.6"" HD,Black",22923 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_1559.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",22923 Сом,https://enter.kg//images/stories/virtuemart/product/1_7648_1586.jpg
"Lenovo V15 N4500 Quadcore 1.1- 2.8GHz,4GB,SSD 256GB, 15.6""FHD RUS BLACK",22923 Сом,https://enter.kg//images/stories/virtuemart/product/777777_8332.jpeg
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 512GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus",23023 Сом,https://enter.kg//images/stories/virtuemart/product/2_5672.jpg
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, BLACK",23123 Сом,https://enter.kg//images/stories/virtuemart/product/1_7338.jpg
"Ноутбук Lenovo V15 G2 IJL Intel N4500 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus, Black [82QY00PHAK]",23423 Сом,https://enter.kg//images/stories/virtuemart/product/77_6538.png
"Ноутбук ASUS-X543M/Intel N4020/DDR4 4GB/SSD-120GB/15.6""/DVDRW/1B-Star Grey/Rus+Eng",24024 Сом,https://enter.kg//images/stories/virtuemart/product/1_2934.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",24525 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_1567.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",24525 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_4398.jpg
"Ноутбук ASUS-X543M/Intel N4020/DDR4 4GB/SSD-256GB/15.6""/DVDRW/1B-Star Grey/Rus+Eng",24525 Сом,https://enter.kg//images/stories/virtuemart/product/1_4215.jpg
"Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+256GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi,BT,Cam,Win10 S,серый,[GWTN156-11BK]",24525 Сом,https://enter.kg//images/stories/virtuemart/product/2_3917_8118.jpg
"Ноутбук HP 15s-eq1129ur 22V36EA#ACB AMD Athlon 3020e (1.20GHz-2.60GHz), 4GB DDR4, 256GB SSD, AMD Radeon Graphics 3, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Grey",24525 Сом,https://enter.kg//images/stories/virtuemart/product/1473317_v04_b_1127.jpg
"Ноутбук Lenovo V15 G2 IJL Intel N4500 (up to 2.8Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus, Black [82QY00PHAK]",24525 Сом,https://enter.kg//images/stories/virtuemart/product/77_8213.png
"Ноутбук HP 15s-eq1129ur 22V36EA#ACB AMD Athlon 3020e (1.20GHz-2.60GHz), 8GB DDR4, 256GB SSD, AMD Radeon Graphics 3, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Grey",24925 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_3217.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25025 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_2226.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 256GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25025 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_4467.jpg
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25325 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_3957.jpg
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25325 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8110.jpg
"HP 240 G8 32M66EA N5030 1.1-3.1GHz,4GB,1TB,14"" HD,Black",25425 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_3638.jpg
"Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+500GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK]",25425 Сом,https://enter.kg//images/stories/virtuemart/product/2_7876_3720.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25526 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7949.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25526 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_1204.jpg
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",25526 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_5931.jpg
